id,geo_unit,level_1,level_2,level_3
ds_0001,primarschulgemeinde,Bevölkerung und Soziales,Bevölkerungsstand,Gesamtbevölkerung
ds_0002,primarschulgemeinde,Bevölkerung und Soziales,Bildung,Anzahl Schülerinnen und Schüler im Durchschnitt der beiden Stichtage 15.2. und 15.9.
ds_0003,primarschulgemeinde,Bevölkerung und Soziales,Bildung,Anteil Schüler an der Anzahl Einwohner
ds_0004,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Steuerkraft 100%
ds_0005,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Steuerkraft pro Einwohner
ds_0006,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Steuerfuss in %
ds_0007,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Gesamtsteuerfuss Schule  in %
ds_0008,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Gemeindesteuerfuss in %
ds_0009,primarschulgemeinde,Staat und Politik,Steuerkraft und Steuerfüsse,Schulsteuerfuss inkl. Gemeindesteuer in %
ds_0010,primarschulgemeinde,Staat und Politik,Beitragsleistungen,Beitragsleistungen gemäss Basisjahr der Berechnungsparameter in CHF
ds_0011,primarschulgemeinde,Staat und Politik,Beitragsleistungen,Beitragsleistungen gemäss Basisjahr der Berechnungsparameter im Verhältnis zur Steuerkraft 100%
ds_0012,primarschulgemeinde,Staat und Politik,Beitragsleistungen,Beitragsleistungen periodisch abgegrenzt in CHF
ds_0013,primarschulgemeinde,Staat und Politik,Beitragsleistungen,Beitragsleistungen periodisch abgegrenzt im Verhältnis zur Steuerkraft 100%
ds_0014,primarschulgemeinde,Staat und Politik,Beitragsleistungen,Beitragsleistungen im Mittelflussjahr gerechnet
ds_0015,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Nettoinvestitionen für das Verwaltungsvermögen im Rechnungsjahr
ds_0016,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Nettoschuld (-) / Nettovermögen (+) per 31.12. in CHF
ds_0017,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Fiskalertrag in CHF
ds_0018,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Nettoverschuldungsquotient im Rechnungsjahr
ds_0019,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Zinsbelastung im Rechnungsjahr in CHF
ds_0020,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Laufender Ertrag im Rechnungsjahr in CHF
ds_0021,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Zinsbelastungsanteil im Rechnungsjahr
ds_0022,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Zinsbelastungsrisiko
ds_0023,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Hypothetischer Prozentsatz für Zinsbelastungsrisiko
ds_0024,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Verbuchte Gewinnverwendung im Rechnungsjahr
ds_0025,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Verbuchte Einlagen in den Erneuerungsfonds Baufolgekosten
ds_0026,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Aufwanddeckung
ds_0027,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Laufender Aufwand im Rechnungsjahr
ds_0028,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Eigenkapital im Verhältnis zur Steuerkraft 100% per 31.12.
ds_0029,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Eigenkapitaldeckungsgrad
ds_0030,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Erfolgvorgewinnverwendung
ds_0031,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Erfolg im Rechnungsjahr in CHF
ds_0032,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Bilanzüberschuss Kontogruppe 299
ds_0033,primarschulgemeinde,Staat und Politik,Finanzkennzahlen,Verwaltungsvermögen per 31.12.
